流水号,平台用户编号,金额
268103232389645342,10581,110217.48
268103232389645343,105810,3.00
268103232389645344,107490,1328.21
268103232398033929,102445,187.84
268103232398033930,107491,252.70
268103232398033931,10245,47204.99
268103232398033932,106611,10429.05
268103232398033933,107509,107.76
268103232398033934,103268,261.19
268103232398033935,10246,102.96
268103232398033936,101638,27205.07
268103232398033937,10423,180.54
268103232398033938,106620,5.00
268103232398033939,10327,20926.04
268103232398033940,101640,8.59
268103232398033941,107517,20344.74
268103232398033942,100761,50799.61
268103232398033943,104235,451.03
268103232398033944,105834,502.99
268103232398033945,105085,474.72
268103232398033946,105836,70499.23
268103232406422536,105089,525.59
268103232406422537,10852,211.97
268103232406422538,102487,7.47
268103232406422539,104245,30.37
268103232406422540,101658,118672.55
268103232406422541,106672,105.19
268103232406422542,105847,238.60
268103232406422543,100785,1719.11
268103232406422544,107546,38407.09
268103232406422545,105857,89.11
268103232406422546,105108,25.76
268103232406422547,105858,172.28
268103232406422548,10426,404.61
268103232406422549,103297,0.06
268103232406422550,105859,249.42
268103232406422551,104266,5.00
268103232406422552,102505,30.54
268103232406422553,101677,1099.44
268103232406422554,107555,95.05
268103232406422555,104269,544.46
268103232406422556,101685,25.57
268103232406422557,106697,44.75
268103232406422558,10587,445.38
268103232406422559,106698,27.21
268103232406422560,101687,16.04
268103232406422561,107560,21825.53
268103232414811142,107562,1374.61
268103232414811143,105875,350.91
268103232414811144,10080,960.91
268103232414811145,100805,796.31
268103232414811146,103320,8.28
268103232414811147,101699,51.86
268103232414811148,100812,237.67
268103232414811149,101702,1147.29
268103232414811150,103327,5.00
268103232414811151,106730,144.28
268103232414811152,10761,163.06
268103232414811153,107614,5.00
268103232414811154,106746,20500.74
268103232414811155,100824,816.34
268103232414811156,105149,220.85
268103232414811157,108583,43951.91
268103232414811158,103348,770.00
268103232414811159,105901,10119.80
268103232414811160,108588,27523.21
268103232414811161,105156,184.58
268103232414811162,105158,6536.56
268103232414811163,106760,217.85
268103232414811164,105915,583.35
268103232423199751,106767,24191.39
268103232423199752,105917,160.31
268103232423199753,104331,3913.68
268103232423199754,100850,103.07
268103232423199755,106781,21079.20
268103232423199756,105170,32626.70
268103232423199757,108609,7650.15
268103232423199758,105921,64.04
268103232423199759,106784,291.23
268103232423199760,101737,1409.90
268103232423199761,108612,177.04
268103232423199762,106791,182.45
268103232423199763,10593,390.48
268103232423199764,102585,1240.00
268103232423199765,10680,824.82
268103232423199766,104357,13711.56
268103232423199767,104358,173.52
268103232423199768,103384,4.71
268103232423199769,106803,0.79
268103232423199770,106806,703.57
268103232473531395,108633,1737.62
268103232473531396,103388,315.62
268103232473531397,104363,87.78
268103232473531398,105202,39.34
268103232473531399,1026,1052.13
268103232473531400,1077,202.23
268103232473531401,105206,415.86
268103232473531402,108641,252.95
268103232473531403,10177,705.16
268103232473531404,105945,22370.89
268103232473531405,100892,53.21
268103232473531406,108642,41.26
268103232473531407,103393,1979.68
268103232473531408,107706,22108.96
268103232473531409,101772,18273.39
268103232473531410,105211,219.63
268103232473531411,101773,321.90
268103232473531412,10771,941.20
268103232473531413,1009,80.14
268103232473531414,104378,40261.06
268103232473531415,105214,124.22
268103232473531416,107719,328.85
268103232473531417,103402,387.58
268103232473531418,101790,476.68
268103232473531419,106844,46.81
268103232473531420,106845,135023.35
268103232473531421,108656,128.55
268103232473531422,101794,508.71
268103232473531423,104386,1180.54
268103232481920002,10685,226.19
268103232481920003,100909,684.82
268103232481920004,107730,102.60
268103232481920005,10523,147.82
268103232481920006,105234,118650.15
268103232481920007,105236,87.34
268103232481920008,108666,60.18
268103232481920009,104398,106.79
268103232481920010,105239,6170.36
268103232481920011,10265,21666.27
268103232481920012,10524,521.17
268103232481920013,107738,604.27
268103232481920014,108676,5.26
268103232481920015,103429,1432.07
268103232481920016,10687,1017.87
268103232481920017,105970,643.22
268103232481920018,101820,535.54
268103232481920019,103435,27326.96
268103232481920020,102660,3658.88
268103232481920021,106876,149.02
268103232481920022,101824,18077.80
268103232481920023,10775,175.20
268103232481920024,108690,53134.14
268103232481920025,101827,1026.39
268103232481920026,101828,23.86
268103232481920027,103442,51043.24
268103232481920028,101829,220.87
268103232481920029,104416,105711.10
268103232481920030,102670,8.87
268103232481920031,101830,0.07
268103232481920032,105260,630.54
268103232481920033,101832,10032.38
268103232481920034,105265,325.95
268103232481920035,103449,32624.48
268103232481920036,108701,169.80
268103232481920037,105268,657.19
268103232481920038,101846,104.82
268103232481920039,105270,698.46
268103232481920040,101847,297.93
268103232481920041,102688,7.57
268103232481920042,108706,26453.84
268103232481920043,105276,707.03
268103232481920044,105277,134.36
268103232481920045,101853,3548.03
268103232481920046,103456,10.83
268103232481920047,102694,7.97
268103232481920048,108715,93.78
268103232481920049,103460,18491.89
268103232481920050,102701,313.84
268103232490308616,105285,64.48
268103232490308617,101863,5.00
268103232490308618,102703,0.33
268103232490308619,108719,3905.19
268103232490308620,107804,7.44
268103232490308621,1060,411.81
268103232490308622,104456,2012.99
268103232490308623,101869,381.39
268103232490308624,106000,155.73
268103232490308625,103465,5985.77
268103232490308626,102712,271.74
268103232490308627,100973,1055.70
268103232540640261,104461,47.83
268103232540640262,108724,66.06
268103232540640263,108727,148.88
268103232540640264,10530,1600.35
268103232540640265,107820,841.77
268103232540640266,105300,26655.28
268103232540640267,106929,49497.30
268103232540640268,103473,80.83
268103232540640269,107823,501.77
268103232540640270,101879,60416.70
268103232540640271,103479,93.26
268103232540640272,107831,1182.43
268103232540640273,106013,0.50
268103232540640274,107836,452.72
268103232540640275,104481,4.91
268103232540640276,108743,157.24
268103232540640277,105317,6.55
268103232540640278,106936,2244.04
268103232540640279,105324,578.89
268103232540640280,107838,957.61
268103232540640281,108748,603.15
268103232540640282,1035,38504.24
268103232540640283,105327,43.57
268103232549028871,103501,570.17
268103232549028872,107843,130.00
268103232549028873,105329,6139.27
268103232549028874,10533,26061.65
268103232549028875,102752,1255.04
268103232549028876,1045,30.65
268103232549028877,101915,53.13
268103232549028878,104501,177.65
268103232549028879,10876,10137.54
268103232549028880,105357,127.72
268103232549028881,108763,2441.49
268103232549028882,104511,5472.33
268103232549028883,106035,14047.09
268103232549028884,107858,51685.79
268103232549028885,103527,36.83
268103232549028886,107863,499.10
268103232549028887,106038,0.71
268103232549028888,102785,83902.91
268103232549028889,102787,73253.21
268103232549028890,105374,50000.00
268103232549028891,104527,4.72
268103232549028892,105375,274.01
268103232549028893,105379,50373.14
268103232549028894,101024,267.16
268103232549028895,105380,160.41
268103232549028896,108788,664.86
268103232549028897,102793,31.91
268103232549028898,106977,533.30
268103232549028899,105388,377.44
268103232549028900,103561,63.96
268103232549028901,107888,439.13
268103232549028902,10789,347.17
268103232549028903,102796,19258.53
268103232549028904,107894,894.39
268103232549028905,102798,81.51
